Time,Temperature
2022-10-22 21:00:00,14.1
2022-10-22 21:05:00,13.9
2022-10-22 21:10:00,13.8
2022-10-22 21:15:00,13.6
2022-10-22 21:20:00,13.4
2022-10-22 21:25:00,13.4
2022-10-22 21:30:00,13.9
2022-10-22 21:35:00,14.1
2022-10-22 21:40:00,14.0
2022-10-22 21:45:00,13.8
2022-10-22 21:50:00,13.6
2022-10-22 21:55:00,13.4
2022-10-22 22:00:00,13.8
2022-10-22 22:05:00,14.0
2022-10-22 22:10:00,14.0
2022-10-22 22:15:00,13.8
2022-10-22 22:20:00,13.6
2022-10-22 22:25:00,13.4
2022-10-22 22:30:00,13.8
2022-10-22 22:35:00,14.1
2022-10-22 22:40:00,14.0
2022-10-22 22:45:00,13.8
2022-10-22 22:50:00,13.6
2022-10-22 22:55:00,13.5
2022-10-22 23:00:00,13.8
2022-10-22 23:05:00,14.1
2022-10-22 23:10:00,14.0
2022-10-22 23:15:00,13.8
2022-10-22 23:20:00,13.6
2022-10-22 23:25:00,13.9
2022-10-22 23:30:00,14.1
2022-10-22 23:35:00,14.1
2022-10-22 23:40:00,13.8
2022-10-22 23:45:00,13.6
2022-10-22 23:50:00,13.7
2022-10-22 23:55:00,14.1
2022-10-23 00:00:00,14.1
2022-10-23 00:05:00,13.9
2022-10-23 00:10:00,13.6
2022-10-23 00:15:00,13.7
2022-10-23 00:20:00,14.1
2022-10-23 00:25:00,14.2
2022-10-23 00:30:00,13.9
2022-10-23 00:35:00,13.7
2022-10-23 00:40:00,13.6
2022-10-23 00:45:00,14.0
2022-10-23 00:50:00,14.1
2022-10-23 00:55:00,13.9
2022-10-23 01:00:00,13.7
2022-10-23 01:05:00,13.8
2022-10-23 01:10:00,14.1
2022-10-23 01:15:00,14.1
2022-10-23 01:20:00,13.9
2022-10-23 01:25:00,13.7
2022-10-23 01:30:00,13.9
2022-10-23 01:35:00,14.2
2022-10-23 01:40:00,14.0
2022-10-23 01:45:00,13.8
2022-10-23 01:50:00,13.6
2022-10-23 01:55:00,13.9
2022-10-23 02:00:00,14.1
2022-10-23 02:05:00,14.0
2022-10-23 02:10:00,13.8
2022-10-23 02:15:00,13.6
2022-10-23 02:20:00,14.0
2022-10-23 02:25:00,14.1
2022-10-23 02:30:00,13.9
2022-10-23 02:35:00,13.7
2022-10-23 02:40:00,13.7
2022-10-23 02:45:00,14.1
2022-10-23 02:50:00,14.1
2022-10-23 02:55:00,13.9
2022-10-23 03:00:00,13.6
2022-10-23 03:05:00,13.9
2022-10-23 03:10:00,14.2
2022-10-23 03:15:00,14.0
2022-10-23 03:20:00,13.7
2022-10-23 03:25:00,13.7
2022-10-23 03:30:00,14.1
2022-10-23 03:35:00,14.1
2022-10-23 03:40:00,13.8
2022-10-23 03:45:00,13.7
2022-10-23 03:50:00,14.1
2022-10-23 03:55:00,14.1
2022-10-23 04:00:00,13.9
2022-10-23 04:05:00,13.6
2022-10-23 04:10:00,13.9
2022-10-23 04:15:00,14.2
2022-10-23 04:20:00,14.0
2022-10-23 04:25:00,13.7
2022-10-23 04:30:00,13.9
2022-10-23 04:35:00,14.3
2022-10-23 04:40:00,14.1
2022-10-23 04:45:00,13.8
2022-10-23 04:50:00,13.9
2022-10-23 04:55:00,14.3
2022-10-23 05:00:00,14.2
2022-10-23 05:05:00,13.9
2022-10-23 05:10:00,13.8
2022-10-23 05:15:00,14.1
2022-10-23 05:20:00,14.3
2022-10-23 05:25:00,14.0
2022-10-23 05:30:00,13.8
